Fuente,Nombre,Links,Comments,Like,ReTweets,Reply
Twitter,wscom,2,0,0,0,0
Facebook,Santiago del Estero,3,1,1,0,0
Twitter,isabpinheiro,1,0,0,0,0
Twitter,Murrietiux,1,0,0,0,0
Twitter,_SaraMG_,1,0,0,0,0
Twitter,TITO8112,2,0,0,0,0
Twitter,axesor,2,0,0,0,0
Twitter,elpeorescritor,1,0,0,0,0
Twitter,ThaisGJ,1,0,0,0,0
Twitter,juanes_92,1,0,0,0,0
Twitter,alexcelorio_,1,0,0,0,0
Twitter,camipp,1,0,0,0,0
Twitter,IndiaSolariOk,2,0,0,0,0
Twitter,Bobodonato,2,0,0,0,0
Twitter,CarlosMatheusS_,2,0,0,0,0
Twitter,GerardoRH19,2,0,0,0,0
Facebook,TN - Todo Noticias,2,1,1,0,0
Facebook,Maru Grilli,3,1,1,0,0
Twitter,elliberalweb,2,0,0,0,0
servicios.lanacion.com.ar,servicios.lanacion.com.ar,2,0,0,0,0
servicios.lanacion.com.ar,servicios.lanacion.com.ar,2,0,0,0,0
servicios.lanacion.com.ar,servicios.lanacion.com.ar,2,0,0,0,0
servicios.lanacion.com.ar,servicios.lanacion.com.ar,2,0,0,0,0
servicios.lanacion.com.ar,servicios.lanacion.com.ar,2,0,0,0,0
Facebook,Mario Secreto Dadda,1,1,1,0,0
www.lmcordoba.com.ar,www.lmcordoba.com.ar,3,0,0,0,0
Twitter,iguazunoticias,2,0,0,0,0
www.ole.com.ar,www.ole.com.ar,3,0,0,0,0
www.ole.com.ar,www.ole.com.ar,2,0,0,0,0
www.ole.com.ar,www.ole.com.ar,2,0,0,0,0
www.ole.com.ar,www.ole.com.ar,2,0,0,0,0
www.ole.com.ar,www.ole.com.ar,2,0,0,0,0
www.ole.com.ar,www.ole.com.ar,3,0,0,0,0
www.ole.com.ar,www.ole.com.ar,3,0,0,0,0
Twitter,misionesonline,2,0,0,0,0
Facebook,TN - Todo Noticias,2,1,1,0,0
Facebook,Valeen Kanalla,1,1,0,0,0
Twitter,elliberalweb,2,0,0,0,0
Twitter,InfobaeAmerica,2,0,0,0,0
Twitter,NuevoDiarioWeb,2,0,0,0,0
Facebook,Diario La Capital - Rosario,2,1,1,0,0
Facebook,678,2,1,1,0,0
Facebook,TN - Todo Noticias,2,1,1,0,0
Twitter,NuevoDiarioWeb,2,0,0,0,0
Facebook,Alejandro Difabio,1,1,0,0,0
elsolonline.com,elsolonline.com,3,0,0,0,0
Facebook,TN - Todo Noticias,2,1,1,0,0
Twitter,elliberalweb,2,0,0,0,0
Facebook,Lola Guzman,1,1,0,0,0
Facebook,678,2,1,1,0,0
Facebook,678,2,1,1,0,0
Facebook,Santiago Ortiz,1,1,1,0,0
Facebook,Elisabet Nora Conles,1,1,0,0,0
Facebook,Luciana Blanco,1,1,0,0,0
Facebook,Elizabeth Bujak,1,1,0,0,0
www.tiemposur.com.ar,www.tiemposur.com.ar,2,0,0,0,0
www.tiemposur.com.ar,www.tiemposur.com.ar,2,0,0,0,0
www.tiemposur.com.ar,www.tiemposur.com.ar,2,0,0,0,0
Twitter,elliberalweb,2,0,0,0,0
Twitter,PabloBruera,2,0,0,0,0
Twitter,NuevoDiarioWeb,2,0,0,0,0
Twitter,AnaBelenPagan,1,0,0,0,0
Twitter,ElTabano,1,0,0,0,0
Twitter,HostAmazonas1,2,0,0,0,0
Twitter,Sonsolines,2,0,0,0,0
Twitter,silvanacontento,1,0,0,0,0
Twitter,julianasociolog,1,0,0,0,0
Twitter,Richardrsg,1,0,0,0,0
Twitter,jovanpalencia,1,0,0,0,0
Twitter,israelestevan,2,0,0,0,0
Twitter,PSOEdePenaranda,2,0,0,0,0
Twitter,Aldigiannone,1,0,0,0,0
Twitter,ars971,1,0,0,0,0
Twitter,KamposWhite,2,0,0,0,0
Twitter,ExAlunosECA,2,0,0,0,0
Facebook,Groupon Rosario,2,1,1,0,0
Facebook,TN - Todo Noticias,2,1,1,0,0
servicios.lanacion.com.ar,servicios.lanacion.com.ar,2,0,0,0,0
servicios.lanacion.com.ar,servicios.lanacion.com.ar,2,0,0,0,0
